,Unnamed: 0,publish_time,entry_date,username,video_title,tokenised_title,genre,words_in_names,min_views,max_views,exit_date,percentage_view_increase,sentiment,name_sentiment,emotion,sentiment_polarity,name_sentiment_polarity
0,0,2021-05-26T04:30:13Z,2021-05-28,The Late Show with Stephen Colbert,BTS &quot;Butter&quot; - The Late Show with Stephen Colbert,"['bts', 'butter', 'late', 'stephen', 'colbert']",Traditional Media,"['st', 'ber', 'en', 'sho', 'stephe', 'lat', 'late', 'hen', 'sh', 'wi', 'te', 'bert', 'ate', 'step', 'ow', 'ho', 'col', 'stephen', 'er', 'wit', 'la', 'th']",8956580,12585234,2021-06-04,0.40513834521658937,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.5, 'sadness': 0.5, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
1,1,2021-05-27T16:30:08Z,2021-05-28,SORRYLAG,The Legend of Zelda: Breath of the Lag,"['legend', 'zelda', 'breath', 'lag']",Youtuber,"['lag', 'la', 'sorry']",179083,409694,2021-05-31,1.287732503922762,-0.34,-1.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 1.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",negative,negative
2,2,2021-05-26T18:02:40Z,2021-05-28,clay4Kiki,Friday Night Funkin&#39; - Tricky&#39;s clown room Mod,"['friday', 'night', 'funkin', 'trickys', 'clown', 'room', 'mod']",Traditional Media,"['kiki', 'lay', 'ay', 'la', 'clay']",1141709,1874572,2021-05-30,0.6418999937812525,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.25, 'positive': 0.25, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.25, 'anticipation': 0.25}",neutral,neutral
3,3,2021-05-14T04:00:16Z,2021-05-28,Bella Poarch,Bella Poarch - Build a B*tch (Official Music Video),"['bella', 'poarch', 'build', 'btch', 'official', 'music', 'video']",Music,"['el', 'poa', 'ella', 'arch', 'la', 'bell', 'po', 'ar', 'bella', 'bel', 'ell', 'oar', 'arc']",114633627,150065731,2021-06-06,0.3090899671175893,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 1.0, 'surprise': 0.0, 'positive': 1.0, 'negative': 0.0, 'sadness': 0.3333333333333333, 'disgust': 0.0, 'joy': 0.3333333333333333}",neutral,neutral
4,4,2021-05-27T17:33:27Z,2021-05-28,JustinBieberVEVO,Justin Bieber - Peaches / Hold On (Live On The Voice / 2021),"['justin', 'bieber', 'peaches', 'hold', 'live', 'voice']",Traditional Media,"['ju', 'ust', 'st', 'er', 'ti', 'tin', 'ber', 'justin', 'ie']",642903,1527331,2021-05-30,1.3756787571375464,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0}",neutral,neutral
5,5,2021-05-26T04:05:00Z,2021-05-28,The Late Show with Stephen Colbert,BTS Is Ready To Break The Internet With These New Hand Gestures,"['bts', 'ready', 'break', 'internet', 'new', 'hand', 'gestures']",Traditional Media,"['st', 'ber', 'en', 'sho', 'stephe', 'lat', 'late', 'hen', 'sh', 'wi', 'te', 'bert', 'ate', 'step', 'ow', 'ho', 'col', 'stephen', 'er', 'wit', 'la', 'th']",3048284,3640081,2021-05-31,0.19414103147869424,0.6908,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 1.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",positive,neutral
6,6,2021-05-27T16:15:01Z,2021-05-28,Nintendo,Sonic Colors: Ultimate - Announcement Trailer - Nintendo Switch,"['sonic', 'colors', 'ultimate', 'announcement', 'trailer', 'nintendo', 'switch']",Trailer,"['end', 'tend', 'te', 'en', 'intend', 'ni']",639907,843782,2021-05-30,0.31860098420551736,0.0,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.0, 'sadness': 0.5, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 1.0}",neutral,neutral
7,7,2021-05-27T21:20:56Z,2021-05-28,PlayStation,Horizon Forbidden West - State of Play Gameplay Reveal | PS5,"['horizon', 'forbidden', 'west', 'state', 'play', 'gameplay', 'reveal', 'ps']",Commercial,"['tat', 'ion', 'st', 'ati', 'lay', 'io', 'ti', 'ay', 'station', 'play', 'la', 'ta']",2191511,5055422,2021-05-31,1.3068202714930477,-0.1027,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.5}",negative,neutral
8,8,2021-05-23T17:00:25Z,2021-05-28,NEUTRAL DROP,Camerman&#39;s Friends Love This Incredible Gift From A Jeep #Shorts,"['camermans', 'friends', 'love', 'incredible', 'gift', 'jeep', 'shorts']",Youtuber,"['ut', 'ra', 'ne', 'neutral', 'drop', 'ro', 'al', 'tra', 'eu']",5574093,39694554,2021-05-31,6.1212579338019655,0.8807,-1.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.25, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.5, 'anticipation': 0.25}",positive,negative
9,9,2021-05-27T16:02:48Z,2021-05-28,Entertainment Tonight,Friends Reunion: Jennifer Aniston and David Schwimmer Reveal REAL LIFE Crushes on Each Other,"['friends', 'reunion', 'jennifer', 'aniston', 'david', 'schwimmer', 'reveal', 'real', 'life', 'crushes']",Traditional Media,"['nig', 'en', 'nigh', 'ni', 'ment', 'tonight', 'tai', 'enter', 'entertain', 'tain', 'ta', 'night', 'te', 'ai', 'ton', 'men', 'entertainment', 'er']",1399557,2701548,2021-05-30,0.930287941112795,0.0516,0.0,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.5, 'surprise': 0.0, 'positive': 0.5, 'negative': 0.0, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.0, 'anticipation': 0.3333333333333333}",positive,neutral
